Name,Points,Assists,FGA,FG,FTAs,FTs,Minutes,3s attempts,3s,turnovers,2s attempts,2s,usage,Appear_In_NBA,Year
Kendrick McDonald,614,90,561,219,199,143,1611,112,33,137,449,186,23.7,No,2012
Twann Oakley,456,46,372,145,124,91,1315,221,75,71,151,70,19.9,No,2012
Xavian Rimmer,710,129,525,211,231,187,2311,274,101,145,251,110,16.5,No,2012
Ian Francis,751,86,613,273,346,205,2720,5,0,193,608,273,17.1,No,2012
KeDorian Sullivan,174,11,140,68,62,37,633,4,1,27,136,67,15.9,No,2012
Anthony Nieves,547,86,481,181,194,127,1363,163,58,151,318,123,26.7,No,2012
JaMichael Hawkins,787,80,698,256,166,134,2058,400,141,129,298,115,22.7,No,2012
Michael Starks,378,19,302,145,169,88,1904,0,0,86,302,145,11.9,No,2012
Chris Brand,69,8,64,27,12,9,198,13,6,18,51,21,22.7,No,2012
Martrevious Sanders,71,41,69,30,15,11,289,2,0,31,67,30,19,No,2012
Jarvis Moore,58,30,58,23,8,7,280,10,5,35,48,18,17.8,No,2012
Marquis Baker,415,45,378,127,138,99,891,220,62,64,158,65,28.5,No,2012
Tyson Tufono,14,4,16,5,0,0,81,13,4,6,3,1,13.9,No,2012
Devon Francois,5,0,4,2,0,0,46,2,1,5,2,1,10,No,2012
Darien Johnson,0,1,0,0,0,0,1,0,0,0,0,0,0,No,2012
Charles Hinkle,756,85,584,230,226,187,1659,293,109,108,291,121,26.7,No,2012
Troy Brewer,822,101,716,285,135,107,2337,417,145,96,299,140,20.5,No,2012
Daniel Munoz,799,371,710,258,244,191,3332,270,92,226,440,166,17.9,No,2012
Blake Jolivette,446,128,442,168,108,77,1678,78,33,133,364,135,21,No,2012
Tony Wroblicky,881,132,657,363,242,155,2565,0,0,177,657,363,21.5,No,2012
Riley Grafft,293,38,224,116,84,55,1110,21,6,65,203,110,16.2,No,2012
Simon McCormack,376,125,310,153,114,70,1683,0,0,114,310,153,15.7,No,2012
John Schoof,1154,230,909,390,185,147,4062,553,227,187,356,163,17.6,No,2012
Mike Bersch,203,32,226,72,9,6,772,182,53,34,44,19,19.5,No,2012
Daniel Fisher,64,17,59,25,23,14,430,2,0,26,57,25,12.6,No,2012
Wayne Simon,26,14,28,10,16,5,218,6,1,15,22,9,13,No,2012
Joe Hill,95,18,93,32,0,0,366,85,31,16,8,1,16.3,No,2012
Kyle Kager,218,39,172,79,60,44,755,53,16,56,119,63,20,No,2012
Warren Flood,1,0,5,0,2,1,15,0,0,2,5,0,30.3,No,2012
Jordan Borucki,9,0,8,4,2,1,18,0,0,1,8,4,31.1,No,2012
Omar Carter,1721,187,1440,617,438,313,3583,494,174,235,946,443,25.9,No,2012
Andre Williamson,813,87,561,304,314,196,2580,19,9,157,542,295,16.9,No,2012
Jamaal Trice,492,52,407,155,150,104,1490,205,78,97,202,77,19.6,No,2012
Michael Neal,704,259,597,226,250,170,2169,241,82,229,356,144,22,No,2012
Tab Hamilton,913,94,865,329,150,109,2593,435,146,116,430,183,20.4,No,2012
Isaac Butts,847,95,605,365,197,117,2508,0,0,203,605,365,18,No,2012
Nathan Healy,816,110,624,298,182,138,2396,222,82,125,402,216,17.6,No,2012
G.J. Vilarino,163,41,142,54,80,48,645,31,7,46,111,47,17.8,No,2012
Rodney Milium,104,12,86,32,22,14,235,69,26,11,17,6,23.2,No,2012
Mitch Woods,113,110,110,39,55,27,956,34,8,74,76,31,11.1,No,2012
Petey Hausley,245,7,183,96,93,53,676,0,0,44,183,96,20.2,No,2012
Brian Okam,35,3,30,11,27,13,246,0,0,15,30,11,11.8,No,2012
Trent Lockett,1181,219,844,408,451,317,3341,140,48,263,704,360,21.7,No,2012
Kyle Cain,878,78,761,368,192,133,2299,32,9,153,729,359,22.7,No,2012
Jonathan Gilling,998,272,784,323,138,94,3579,638,258,184,146,65,15.2,No,2012
Chris Colvin,441,228,420,147,206,110,1849,127,37,201,293,110,20.5,No,2012
Jordan Bachynski,968,33,632,354,424,260,2670,0,0,158,632,354,19.6,No,2012
Keala King,500,142,404,178,185,118,1410,94,26,147,310,152,24,No,2012
Chanse Creekmur,226,27,194,73,28,21,1055,168,59,33,26,14,12.6,No,2012
Ruslan Pateev,344,53,270,143,98,58,1292,0,0,89,270,143,17.2,No,2012
David Whitmore,4,1,3,1,2,2,28,1,0,0,2,1,7.7,No,2012
Pierre Newton,3,1,2,1,0,0,10,2,1,0,0,0,11.1,No,2012
Max Heller,7,20,14,2,3,2,162,5,1,14,9,1,9.4,No,2012
Kyle Fogg,1341,302,983,404,441,340,3829,478,193,226,505,211,19.4,No,2012
Jesse Perry,678,72,494,237,266,186,1806,65,18,93,429,219,20.9,No,2012
Josiah Turner,197,70,151,63,102,64,721,31,7,60,120,56,19.3,No,2012
Brendon Lavender,438,94,348,142,65,46,1568,263,108,63,85,34,14.8,No,2012
Jordin Mayes,464,129,421,161,96,64,1664,222,78,97,199,83,17.7,No,2012
Angelo Chol,455,27,355,184,142,87,1649,0,0,113,355,184,17.2,No,2012
Kevin Parrom,755,204,557,259,196,141,2257,253,96,116,304,163,17.6,No,2012
Kyryl Natyazhko,154,18,143,61,37,26,859,15,6,44,128,55,12.4,No,2012
Max Wiepking,16,0,8,5,5,2,36,7,4,1,1,1,16.4,No,2012
Alex Jacobson,60,6,51,26,13,7,391,1,1,24,50,25,10.8,No,2012
Sidiki Johnson,44,2,50,17,31,10,172,0,0,13,50,17,22.9,No,2012
Robert Arvizu,2,0,0,0,2,2,10,0,0,3,0,0,20.6,No,2012
Quinton Crawford,0,1,3,0,0,0,15,3,0,0,0,0,10.4,No,2012
Drew Mellon,1,3,8,0,2,1,46,3,0,1,5,0,11.2,No,2012
Dondre Wise,2,7,0,0,2,2,36,0,0,2,0,0,4.3,No,2012
D'Andre Williams,650,231,548,221,197,150,2006,160,58,141,388,163,20.7,No,2012
Daylon Guy,594,126,498,190,178,134,1722,247,80,85,251,110,20.6,No,2012
Will Neighbour,1054,97,788,354,340,257,2458,240,89,214,548,265,24.1,No,2012
Courtney Jackson,682,83,585,282,234,110,2403,30,8,153,555,274,18.7,No,2012
Michael Javes,341,28,339,134,168,71,1202,7,2,85,332,132,21.5,No,2012
Ben Dillard,801,119,584,223,307,253,2555,288,102,111,296,121,17,No,2012
Tramar Sutherland,176,28,142,56,100,60,709,19,4,30,123,52,16.5,No,2012
Taggart Lockhart,227,49,199,77,79,49,966,86,24,41,113,53,14.8,No,2012
Eric Lawton,69,13,62,22,28,22,286,21,3,24,41,19,18.5,No,2012
Marlon Louzeiro,170,13,135,68,57,31,638,5,3,32,130,65,16.1,No,2012
Reggie Fondren,48,12,53,17,11,10,219,18,4,8,35,13,16.1,No,2012
Ted Crass,7,0,9,3,2,0,34,6,1,1,3,2,16.1,No,2012
Savalance Townsend,1357,259,1077,429,530,378,3888,343,121,319,734,308,23.8,No,2012
Daniel Broughton,988,78,884,379,315,197,2543,89,33,224,795,346,25.5,No,2012
Lazabian Jackson,651,146,600,219,137,95,1838,366,118,120,234,101,21.8,No,2012
Rontrell Bailey,86,28,63,28,39,25,505,18,5,30,45,23,11.5,No,2012
Lavoris Weathers,122,9,126,43,105,36,604,1,0,37,125,43,18.3,No,2012
Austin Allen,56,2,50,19,33,18,211,1,0,11,49,19,19,No,2012
Jamar Harris,48,5,46,22,21,4,350,1,0,20,45,22,11.3,No,2012
Kyle Jones,56,20,66,18,8,3,383,62,17,21,4,1,12.3,No,2012
Jaylon Floyd,170,14,138,67,65,34,1085,9,2,60,129,65,10.9,No,2012
Derrius Nelson,19,6,16,6,4,3,98,13,4,7,3,2,13.3,No,2012
Demetrious Smith,17,5,9,5,6,5,192,3,2,15,6,3,7.2,No,2012
Edward Buford,6,2,3,2,4,2,26,0,0,3,3,2,15.9,No,2012
Marcel Mosley,1019,221,804,320,314,245,2664,368,134,259,436,186,23.8,No,2012
Marcus Hooten,644,88,581,220,208,141,1690,184,63,108,397,157,24.4,No,2012
Malcoln Kirkland,620,31,449,241,211,138,1757,0,0,125,449,241,20,No,2012
Trey Finn,1165,210,894,360,349,261,3845,491,184,162,403,176,16.4,No,2012
Brandon Peterson,1098,134,811,380,514,335,3676,14,3,228,797,377,18,No,2012
Edward Townsel,1177,240,1027,392,299,217,3366,496,176,247,531,216,21.8,No,2012
Darion Griswold,119,3,82,50,35,19,348,1,0,13,81,50,17,No,2012
Rakeem Dickerson,400,179,298,110,210,153,1708,88,27,116,210,83,15.6,No,2012
Adam Sterrenberg,276,48,219,83,112,75,952,108,35,44,111,48,17.2,No,2012
Johnny Zuppardo,129,9,118,50,16,11,527,50,18,34,68,32,15.3,No,2012
Bryce Clark,104,11,114,39,37,23,356,33,3,26,81,36,22.5,No,2012
Kinley Ogbonnaya-Branch,58,5,48,16,16,12,158,41,14,11,7,2,22,No,2012
B.J. Young,958,178,752,357,240,169,1673,231,75,138,521,282,29.3,No,2012
Mardracus Wade,797,153,569,235,253,198,2662,341,129,121,228,106,14.9,No,2012
Rickey Scott,532,163,487,195,204,117,1628,112,25,94,375,170,20.4,No,2012
Julysses Nobles,1136,376,928,360,435,298,3286,343,118,283,585,242,21.5,No,2012
Rashad Madden,1106,369,782,336,390,314,2997,353,120,246,429,216,19.5,No,2012
Devonta Abron,623,50,440,204,351,215,1732,1,0,102,439,204,21.1,No,2012
Hunter Mickelson,442,45,414,192,82,56,1397,12,2,77,402,190,18.7,No,2012
Marvell Waithe,224,30,177,77,75,51,738,67,19,37,110,58,16.9,No,2012
Michael Sanchez,380,44,295,123,209,133,1574,3,1,108,292,122,15.6,No,2012
Marshawn Powell,1283,120,1011,497,383,247,2482,145,42,173,866,455,27.1,No,2012
Brandon Mitchell,38,7,44,17,11,4,142,6,0,6,38,17,19.1,No,2012
Kikko Haydar,230,64,192,71,42,30,952,153,58,32,39,13,12.4,No,2012
Matt Thompson,3,1,4,1,0,0,7,3,1,0,1,0,28.1,No,2012
Ella Ellis,1585,159,1129,479,532,434,2952,510,193,206,619,286,27.6,No,2012
Julian Simmons,1255,58,1140,419,242,188,2568,614,229,151,526,190,28.3,No,2012
Josh Herbeck,777,99,708,266,64,48,2144,521,197,101,187,69,20,No,2012
Maxwell Lenox,290,175,218,102,123,76,1180,43,10,126,175,92,17.5,No,2012
Jordan Springer,297,55,225,110,119,77,1475,0,0,95,225,110,13.1,No,2012
Andrew Stire,221,33,154,89,74,43,890,0,0,55,154,89,14,No,2012
Milton Washington,161,57,115,58,58,41,473,8,4,57,107,54,21.5,No,2012
Jason Pancoe,191,100,184,65,28,21,857,115,40,56,69,25,15.1,No,2012
Whit Thornton,24,27,26,9,13,6,315,2,0,31,24,9,10.3,No,2012
Jalen Harris,22,15,24,6,10,6,113,11,4,17,13,2,20.9,No,2012
Josh Johnson,37,4,34,17,14,3,229,0,0,18,34,17,13.1,No,2012
Brian Hornstein,40,2,47,19,8,2,180,1,0,11,46,19,17.8,No,2012
Cartavious Kincade,68,19,57,23,27,19,256,15,3,17,42,20,17.3,No,2012
Chris Gramling,8,0,16,3,1,0,52,14,2,2,2,1,18.3,No,2012
Sean Billerman,14,3,12,4,7,4,36,9,2,0,3,2,21.5,No,2012
Pat Harris,5,2,9,1,3,3,32,6,0,0,3,1,16.7,No,2012
Matt Walker,2,0,3,1,0,0,4,0,0,2,3,1,64.4,No,2012
Michael Felton,0,0,0,0,0,0,1,0,0,0,0,0,0,No,2012
Frankie Sullivan,1556,287,1268,497,431,334,3755,713,228,243,555,269,23.2,No,2012
Kenny Gabriel,756,53,663,283,156,105,1963,271,85,133,392,198,22.9,No,2012
Chris Denson,1190,156,873,401,527,341,2496,171,47,129,702,354,25.9,No,2012
Rob Chubb,759,63,675,315,214,129,2191,1,0,178,674,315,22.7,No,2012
Varez Ward,398,160,326,118,213,139,1292,105,23,122,221,95,21.7,No,2012
Josh Wallace,439,302,395,148,203,132,2429,43,11,155,352,137,13.7,No,2012
Allen Payne,734,135,635,266,231,163,2765,154,39,193,481,227,17.5,No,2012
Josh Langford,481,40,399,189,129,78,1396,74,25,108,325,164,20.5,No,2012
Adrian Forbes,172,8,136,65,73,42,860,0,0,47,136,65,13.1,No,2012
Willy Kouassi,368,14,282,144,168,80,1576,0,0,102,282,144,15,No,2012
Noel Johnson,367,50,395,131,34,21,1350,250,84,83,145,47,18.5,No,2012
Jake Drum,25,3,14,7,14,10,92,3,1,8,11,6,15.5,No,2012
Tony Neysmith,84,68,91,36,40,12,771,6,0,70,85,36,11.9,No,2012
Cedrick McAfee,0,0,6,0,0,0,19,3,0,1,3,0,19.5,No,2012
T.J. Rice,0,0,3,0,0,0,5,1,0,0,2,0,31.7,No,2012
Dylan Spencer,3,0,5,1,2,0,17,5,1,3,0,0,27.6,No,2012
TyShwan Edmondson,1017,142,909,373,181,133,2333,384,138,169,525,235,24.7,No,2012
Josh Terry,746,127,597,282,263,180,1989,17,2,130,580,280,21.2,No,2012
Melvin Baker,615,54,494,240,171,120,1494,51,15,120,443,225,23.1,No,2012
John Fraley,956,68,612,355,406,246,2833,0,0,167,612,355,17.2,No,2012
Jerome Clyburn,255,113,199,75,116,89,998,49,16,84,150,59,16.9,No,2012
Will Triggs,1139,154,779,412,519,315,2964,3,0,197,776,412,20.5,No,2012
Herdie Lawrence,171,75,166,54,60,39,715,103,24,102,63,30,20.7,No,2012
Justin Blake,451,83,388,144,88,57,1353,313,106,59,75,38,18.1,No,2012
Chris Freeman,612,46,439,246,177,120,1740,1,0,117,438,246,18.3,No,2012
Anthony Campbell,1362,158,992,455,341,271,3150,507,181,222,485,274,22,No,2012
Alton Williams,55,5,39,18,5,4,133,33,15,1,6,3,15.8,No,2012
Thomas Greer,64,21,47,18,35,20,339,20,8,29,27,10,13.6,No,2012
Matt Hasse,47,29,30,14,26,17,266,2,2,17,28,12,11.1,No,2012
Kevin Covington,1,1,1,0,2,1,17,0,0,3,1,0,14.5,No,2012
Joe Harms,8,0,4,2,8,4,37,1,0,3,3,2,14.6,No,2012
Jarrod Jones,1623,105,1314,622,535,366,3587,47,13,229,1267,609,27.3,No,2012
Jesse Berry,1257,181,999,377,379,279,3089,661,224,233,338,153,23.9,No,2012
Randy Davis,929,446,637,240,380,313,3073,399,136,222,238,104,18.3,No,2012
Chris Bond,1050,143,785,392,365,245,3105,79,21,205,706,371,19.5,No,2012
Tyler Koch,267,69,240,94,58,27,1211,155,52,70,85,42,14.8,No,2012
Tyrae Robinson,298,150,234,96,139,91,1080,46,15,113,188,81,20.6,No,2012
Jauwan Scaife,1326,187,1076,403,405,317,3369,579,203,198,497,200,23.1,No,2012
Aaron Adeoye,376,46,329,145,127,80,1610,25,6,113,304,139,16.1,No,2012
Matt Kamieniecki,431,71,300,156,228,118,1649,3,1,96,297,155,16.2,No,2012
Zach Fields,145,11,127,64,32,17,604,0,0,48,127,64,16.4,No,2012
Pierre Sneed,269,78,278,97,104,70,1633,27,5,102,251,92,14.3,No,2012
Zeke Chapman,15,1,22,5,2,2,83,20,3,4,2,2,17.6,No,2012
Perry Jones,862,78,659,344,239,162,2030,43,12,125,616,332,22.4,No,2012
Brady Heslip,1140,102,829,359,147,121,3015,689,301,42,140,58,15.8,No,2012
A.J. Walton,778,452,676,271,259,169,3413,201,67,298,475,204,16.2,No,2012
Deuce Bello,555,78,428,194,222,128,1739,135,39,142,293,155,19.4,No,2012
Gary Franklin,513,185,483,163,101,68,2105,362,119,116,121,44,15.6,No,2012
Fred Ellis,214,52,192,68,76,59,967,68,19,70,124,49,15.4,No,2012
Jacob Neubert,14,2,20,6,4,2,59,2,0,5,18,6,22.9,No,2012
Kerron Johnson,1388,515,848,405,682,511,3205,209,67,326,639,338,23.4,No,2012
Drew Hanlen,874,423,640,257,220,171,2957,465,189,190,175,68,15.6,No,2012
Scott Saunders,1030,35,701,360,452,310,2023,0,0,170,701,360,28.8,No,2012
Mick Hedgepeth,1191,62,765,413,522,356,2673,29,9,180,736,404,22.5,No,2012
J.J. Mann,1509,272,1212,524,265,227,3570,644,234,184,568,290,21.6,No,2012
Blake Jenkins,918,110,602,337,336,213,2381,99,31,156,503,306,19.5,No,2012
Adam Barnes,166,48,118,61,57,37,665,15,7,37,103,54,13.7,No,2012
Brandon Baker,373,99,339,144,59,36,1600,180,49,73,159,95,13.7,No,2012
Trevor Noack,693,51,592,265,122,84,1852,243,79,97,349,186,20.3,No,2012
Reece Chamberlain,789,454,559,251,304,211,2787,211,76,219,348,175,17.1,No,2012
Chad Lang,287,1,220,121,94,45,626,0,0,61,220,121,26.2,No,2012
Spencer Turner,158,33,143,53,12,7,463,128,45,20,15,8,18.8,No,2012
Holden Mobley,77,40,56,23,29,19,683,33,12,35,23,11,7.9,No,2012
Seth Cavera,0,1,1,0,1,0,20,1,0,0,0,0,3.7,No,2012
Kevin Dukes,1159,264,982,376,171,131,3712,745,276,181,237,100,17.5,No,2012
Adrien Coleman,1027,151,768,392,424,224,2279,73,19,187,695,373,25.9,No,2012
Garrius Holloman,747,118,638,320,161,94,1916,46,13,126,592,307,23.3,No,2012
Anthony Breeze,922,53,642,336,416,249,2192,1,1,147,641,335,23.3,No,2012
Ricky Johnson,1161,295,959,322,467,379,3574,464,138,242,495,184,20.6,No,2012
Stanley Elliott,631,125,557,225,247,154,2705,117,27,136,440,198,15.6,No,2012
Javoris Bryant,745,95,642,274,280,197,2618,5,0,131,637,274,18.1,No,2012
Paul Scotland,363,97,310,110,123,91,1033,156,52,83,154,58,22.1,No,2012
Alex Smith,277,28,196,121,68,35,929,1,0,52,195,121,15.2,No,2012
Marc Mack,155,15,184,63,54,28,852,7,1,54,177,62,15.8,No,2012
Mikel Trapp,833,105,745,278,137,95,2874,536,182,140,209,96,17.8,No,2012
Raymoan McAfee,44,2,47,19,17,6,284,1,0,16,46,19,13.3,No,2012
David Baroum,0,0,3,0,0,0,6,0,0,1,3,0,34.8,No,2012
Brandon Stewart,292,28,240,80,141,106,709,100,26,60,140,54,28,No,2012
Ben Dickinson,610,104,548,239,182,121,1504,57,11,126,491,228,26.6,No,2012
Robert Mansell,526,62,462,169,207,151,1476,123,37,112,339,132,24.8,No,2012
Jimmy Gray,812,291,779,285,101,79,3205,506,163,241,273,122,17.9,No,2012
Chris Longoria,251,56,233,82,81,63,859,96,24,66,137,58,21.1,No,2012
Omar Richards,141,11,121,57,48,24,574,6,3,45,115,54,17.8,No,2012
Javon Ralling,231,29,209,85,103,61,1028,1,0,68,208,85,17,No,2012
Taylor Johnston,368,44,326,124,60,40,1707,213,80,87,113,44,13.8,No,2012
Alex Ogundadegbe,234,31,216,91,85,52,1244,2,0,60,214,91,13.6,No,2012
Jabrille Williams,92,9,86,39,14,6,589,31,8,28,55,31,11,No,2012
Carlyle Francis,33,8,30,10,16,12,143,12,1,21,18,9,22.2,No,2012
Byron Brown,8,3,10,3,4,2,44,5,0,2,5,3,17.1,No,2012
Mike Horn,26,17,53,9,12,5,676,29,3,10,24,6,5.3,No,2012
K.J. Brown,82,18,76,22,42,25,338,42,13,29,34,9,19.9,No,2012
Chris Rice,18,7,26,4,11,7,172,18,3,13,8,1,13.6,No,2012
Anthony Drmic,1942,244,1463,634,529,399,4117,786,275,223,677,359,24.5,No,2012
Derrick Marks,1912,370,1417,669,580,458,3538,293,116,332,1124,553,30.6,No,2012
Kenny Buckner,393,29,275,169,97,55,1133,1,0,57,274,169,17.5,No,2012
Thomas Bropleh,715,84,567,238,175,125,2038,302,114,91,265,124,18.9,No,2012
Ryan Watkins,1070,72,745,409,346,251,2651,3,1,122,742,408,20.2,No,2012
Westly Perryman,409,133,343,145,143,83,1633,109,36,84,234,109,15.5,No,2012
Drew Wiley,315,36,273,106,32,21,959,213,82,43,60,24,17.7,No,2012
Jeff Elorriaga,792,177,607,255,78,61,3111,518,221,70,89,34,12,No,2012
Tre Nichols,252,49,242,87,68,53,671,99,25,44,143,62,24.2,No,2012
Igor Hadziomerovic,511,219,456,184,161,100,2365,140,43,150,316,141,15.5,No,2012
Joe Hanstad,145,42,118,47,33,25,727,82,26,30,36,21,12.1,No,2012
Jarrell Crayton,33,2,21,12,18,9,128,1,0,8,20,12,15.4,No,2012
Matt Humphrey,648,97,605,214,165,95,1941,377,125,107,228,89,21.6,No,2012
Dennis Clifford,889,118,669,336,320,209,2934,31,8,212,638,328,19.4,No,2012
Lonnie Jackson,960,214,751,293,186,145,3203,598,229,167,153,64,17.2,No,2012
Jordan Daniels,650,181,562,227,116,97,1987,258,99,135,304,128,21.7,No,2012
Patrick Heckmann,903,197,632,290,281,214,2691,320,109,194,312,181,19.9,No,2012
Gabriel Moton,167,63,152,61,34,19,958,83,26,58,69,35,13,No,2012
Kyle Caudill,277,45,200,99,111,78,858,10,1,81,190,98,20.3,No,2012
John Cahill,114,20,79,35,19,15,735,64,29,15,15,6,7.7,No,2012
Eddie Odio,351,70,288,131,92,57,1856,109,32,75,179,99,12.3,No,2012
Danny Rubin,176,26,159,58,15,10,832,128,50,27,31,8,12.7,No,2012
Deirunas Visockas,99,19,80,33,20,16,335,50,17,24,30,16,17.1,No,2012
Ryan Kilcullen,2,0,0,0,2,2,9,0,0,1,0,0,12.1,No,2012
Salah Abdo,0,0,0,0,2,0,11,0,0,0,0,0,4.8,No,2012
John Cain Carney,17,5,22,8,3,0,240,4,1,8,18,7,7.3,No,2012
Peter Rehnquist,12,2,14,6,0,0,41,2,0,4,12,6,23,No,2012
Darryl Partin,1304,109,1111,445,336,249,2708,492,165,242,619,280,30.2,No,2012
D.J. Irving,1456,469,1146,458,475,370,4126,472,170,287,674,288,21.5,No,2012
Dom Morris,1139,94,856,439,312,220,3410,114,41,182,742,398,18.6,No,2012
Patrick Hazel,426,43,297,163,195,100,1880,0,0,101,297,163,13.8,No,2012
Matt Griffin,591,208,481,175,125,106,2684,363,135,126,118,40,12.9,No,2012
Travis Robinson,592,91,520,202,102,66,2269,344,122,107,176,80,15.9,No,2012
Malik Thomas,838,152,739,312,195,129,2610,267,85,160,472,227,20.2,No,2012
Jeff Pelage,319,20,268,126,154,67,1594,1,0,111,267,126,13.2,No,2012
Zach Chionuma,179,6,199,66,38,19,576,105,28,27,94,38,22.7,No,2012
Mike Terry,71,14,88,28,24,11,495,28,4,21,60,24,13,No,2012
James Kennedy,31,4,35,15,7,1,241,2,0,15,33,15,11.9,No,2012
Chris Kurz,2,1,9,1,1,0,53,0,0,5,9,1,14.5,No,2012
Mat Piotrowski,42,8,57,17,5,4,281,23,4,12,34,13,13.6,No,2012
A'uston Calhoun,1337,64,1166,529,324,240,2855,133,39,191,1033,490,27.9,No,2012
Scott Thomas,1261,317,1064,450,320,210,3634,469,151,239,595,299,21.7,No,2012
Jordon Crawford,1212,473,1101,455,240,180,3343,392,122,337,709,333,24.5,No,2012
Torian Oglesby,266,10,181,119,70,28,969,0,0,43,181,119,13.9,No,2012
Craig Sealey,321,25,297,125,128,68,1068,13,3,70,284,122,21,No,2012
Cameron Black,590,86,516,266,121,58,2690,0,0,118,516,266,13.4,No,2012
Jehvon Clarke,888,261,854,328,179,134,2423,313,98,227,541,230,25.2,No,2012
Luke Kraus,338,112,330,105,94,69,1663,207,59,72,123,46,14.2,No,2012
Chauncey Orr,305,63,233,104,83,65,1108,90,32,58,143,72,15.9,No,2012
Anthony Henderson,736,123,630,261,167,104,2451,304,110,83,326,151,17,No,2012
James Erger,87,32,101,32,18,10,677,63,13,26,38,19,10.6,No,2012
Antonio Ferrell,2,0,2,1,0,0,8,0,0,0,2,1,13.1,No,2012
Damarkeo Lyshe,62,14,59,19,20,13,241,36,11,11,23,8,17.1,No,2012
Taylor Brown,903,97,727,322,278,216,2105,148,43,155,579,279,26.8,No,2012
Walt Lemon,1721,367,1422,628,502,361,3935,324,104,404,1098,524,27.6,No,2012
Dyricus Simms-Edwards,1255,337,1084,429,378,274,3680,399,123,254,685,306,21.7,No,2012
Jordan Prosser,684,37,566,279,213,126,2598,0,0,113,566,279,15.8,No,2012
Jake Eastman,571,208,536,199,157,106,2846,244,67,110,292,132,13.3,No,2012
Shayok M. Shayok,430,38,371,175,143,68,1684,38,12,109,333,163,16.8,No,2012
Anthony Thompson,161,9,138,65,60,31,834,0,0,38,138,65,12.4,No,2012
Jalen Crawford,217,44,240,83,19,12,879,123,39,46,117,44,17.5,No,2012
Charonn Woods,27,9,29,7,16,11,276,15,2,8,14,5,8.5,No,2012
Milos Knezevic,92,8,83,31,19,13,333,57,17,24,26,14,18.5,No,2012
Donivine Stewart,796,367,673,283,218,141,2861,261,89,150,412,194,16.3,No,2012
Devon Hodges,0,1,1,0,0,0,21,0,0,3,1,0,9.9,No,2012
Noah Hartsock,1191,158,847,461,282,230,3331,99,39,123,748,422,16.1,No,2012
Charles Abouo,912,164,697,302,306,222,2527,244,86,151,453,216,19.1,No,2012
Matt Carlino,1620,525,1397,557,359,266,3604,666,240,307,731,317,25.4,No,2012
Brock Zylstra,607,147,487,209,129,87,2100,288,102,93,199,107,14.7,No,2012
Anson Winder,808,170,582,267,248,174,2126,283,100,91,299,167,17.8,No,2012
Nate Austin,529,100,388,205,178,106,2780,49,13,99,339,192,9.7,No,2012
Craig Cusick,247,148,207,78,61,40,1277,130,51,55,77,27,10.9,No,2012
Stephen Rogers,256,35,193,84,63,51,613,107,37,36,86,47,20.3,No,2012
Damarcus Harrison,784,134,744,276,173,128,2468,334,104,130,410,172,20.9,No,2012
Josh Sharp,250,63,168,93,90,59,1379,17,5,45,151,88,8.9,No,2012
Nick Martineau,44,34,49,15,10,7,289,22,7,16,27,8,11.8,No,2012
Chris Collinsworth,165,32,153,58,78,42,716,42,7,43,111,51,16.1,No,2012
Sean McGonagill,1618,522,1363,538,387,293,4110,683,249,327,680,289,23.8,No,2012
Matt Sullivan,1033,206,842,333,270,202,3262,455,165,157,387,168,18.5,No,2012
Andrew McCarthy,683,54,523,279,202,121,1890,18,4,102,505,275,20.4,No,2012
Stephen Albrecht,514,98,485,177,74,48,1418,299,112,83,186,65,23.3,No,2012
Jean Herbert-Harris,269,37,234,96,28,22,771,147,55,64,87,41,21.8,No,2012
Dockery Walker,568,35,459,234,202,99,1493,5,1,114,454,233,23.1,No,2012
Tyler Ponticelli,256,122,177,95,104,66,1634,1,0,114,176,95,11.1,No,2012
Tellef Lundevall,42,10,58,15,6,4,230,30,8,7,28,7,15.9,No,2012
Christian Gore,174,43,135,46,85,59,760,65,23,41,70,23,15.2,No,2012
Josh Biber,41,13,37,13,32,15,253,3,0,11,34,13,13.2,No,2012
Jon Schmidt,41,15,56,17,14,7,297,0,0,14,56,17,13.8,No,2012
Longi Yiljep,45,10,41,15,20,11,306,16,4,20,25,11,12.3,No,2012
Patrick Donnelly,4,1,11,2,0,0,37,8,0,2,3,2,18.9,No,2012
Alex Francis,2085,172,1457,791,815,490,4141,53,13,457,1404,778,28.9,No,2012
Frankie Dobbs,1232,505,920,355,416,331,3744,549,191,269,371,164,19.3,No,2012
Corey Maynard,1050,379,854,370,224,172,3406,417,138,211,437,232,17.9,No,2012
Raphael Jordan,561,116,535,196,148,100,2033,213,69,139,322,127,19.5,No,2012
Ben Altit,149,14,156,61,22,15,587,48,12,51,108,49,19.5,No,2012
Claybrin McMath,278,35,304,114,41,23,1252,122,27,60,182,87,16.3,No,2012
Daniel Calandrillo,142,31,149,54,17,11,686,79,23,17,70,31,13.3,No,2012
Vlad Kondratyev,616,34,524,255,125,83,1921,79,23,123,445,232,19.5,No,2012
Erick Smith,101,12,118,39,29,14,491,35,9,36,83,30,18.3,No,2012
Troy Robinson,32,19,42,12,11,7,306,15,1,18,27,11,11.2,No,2012
Jordan Harris,27,5,29,10,12,4,105,10,3,13,19,7,23.7,No,2012
Alex Herzing,2,0,2,1,1,0,16,0,0,1,2,1,11.2,No,2012
