Name,Points,Assists,FGA,FG,FTAs,FTs,Minutes,3s attempts,3s,turnovers,2s attempts,2s,usage,Appear_In_NBA,Year
Marcus Thornton,829,91,687,289,361,230,2885,72,21,165,615,268,18.9,Yes,2012
Elias Harris,1857,177,1289,666,618,447,3785,219,78,242,1070,588,24.6,Yes,2012
Robert Sacre,1270,91,812,409,614,451,2946,4,1,220,808,408,22.8,Yes,2012
David Stockton,661,423,526,223,207,145,2741,229,70,202,297,153,15.5,Yes,2012
Devin Brown,1427,149,1047,439,450,358,2991,507,191,230,540,248,25.6,Yes,2012
Malcolm Miller,1013,164,746,332,319,244,2917,284,105,175,462,227,20.1,Yes,2012
Jonathon Simmons,441,65,301,154,141,101,902,83,32,100,218,122,26.1,Yes,2012
Joe Young,2304,351,1718,778,519,460,4333,739,288,221,979,490,25.3,Yes,2012
Brandon Paul,1654,310,1356,521,554,401,3665,650,211,312,706,310,27.5,Yes,2012
Meyers Leonard,502,48,349,198,144,105,1290,12,1,94,337,197,21.1,Yes,2012
Myke Henry,991,76,808,384,209,147,2344,228,76,178,580,308,23.9,Yes,2012
Cody Zeller,1157,92,674,399,475,359,2087,2,0,141,672,399,25.4,Yes,2012
Victor Oladipo,1117,175,754,406,359,257,2558,142,48,203,612,358,22.7,Yes,2012
Scott Machado,1613,880,1232,529,584,432,4143,360,123,440,872,406,23.6,Yes,2012
Royce White,456,170,328,175,205,102,1072,12,4,130,316,171,26.5,Yes,2012
Chris Babb,942,215,802,302,161,118,3448,613,220,102,189,82,14.5,Yes,2012
Dion Waiters,77,46,63,22,47,33,385,13,0,30,50,22,15.6,Yes,2012
Rodney McGruder,1576,186,1257,568,332,252,3702,494,188,171,763,380,21.3,Yes,2012
Thomas Robinson,1026,101,753,395,378,229,1960,14,7,173,739,388,28.3,Yes,2012
Tyshawn Taylor,1580,575,1156,551,506,358,4039,324,120,379,832,431,21.8,Yes,2012
Jeff Withey,938,69,576,327,390,283,2319,1,1,138,575,326,19.7,Yes,2012
Anthony Davis,567,50,337,210,203,144,1281,20,3,41,317,207,18.8,Yes,2012
Doron Lamb,1018,122,693,336,249,202,2327,303,144,94,390,192,19.9,Yes,2012
Michael Kidd-Gilchrist,476,75,326,160,192,143,1245,51,13,87,275,147,20.6,Yes,2012
Terrence Jones,1064,111,820,383,401,256,2311,128,42,137,692,341,25.4,Yes,2012
Marquis Teague,401,191,352,145,119,85,1303,80,26,109,272,119,20.2,Yes,2012
Darius Miller,1248,278,990,444,227,185,3789,462,175,214,528,269,17.3,Yes,2012
Kyle Wiltjer,1909,190,1417,690,341,281,3504,583,248,186,834,442,26,Yes,2012
Mike James,847,107,709,313,183,147,1437,218,74,106,491,239,29.1,Yes,2012
Stan Brown,679,38,544,252,273,175,2085,4,0,120,540,252,18.1,Yes,2012
Jordan Hamilton,403,45,327,139,89,67,1375,179,58,63,148,81,15.7,Yes,2012
Marvin Williams,493,24,413,205,132,81,1372,9,2,95,404,203,21.6,Yes,2012
Casper Ware,1841,545,1458,586,582,456,4319,610,213,368,848,373,25.1,Yes,2012
David Robinson,578,88,465,178,160,131,1800,264,91,93,201,87,17.1,Yes,2012
Anthony Taylor,89,24,91,29,46,28,357,14,3,50,77,26,22.1,Yes,2012
Elfrid Payton,1426,486,1032,501,645,394,3155,112,30,336,920,471,25.6,Yes,2012
Darnell Jackson,65,12,64,24,21,11,326,19,6,19,45,18,13.9,Yes,2012
Fred Brown,1150,207,1042,416,184,135,2716,479,183,219,563,233,27.6,Yes,2012
Justin Hamilton,758,45,540,289,239,177,2091,12,3,101,528,286,18.4,Yes,2012
Ronald Martin,0,0,0,0,0,0,1,0,0,0,0,0,0,Yes,2012
Russ Smith,1908,378,1501,620,642,488,3228,521,180,316,980,440,32.6,Yes,2012
Chris Smith,1310,222,1115,449,357,251,3474,458,161,191,657,288,20.9,Yes,2012
Gorgui Dieng,851,127,620,338,272,174,2789,3,1,166,617,337,16.4,Yes,2012
Peyton Siva,1215,677,989,412,396,292,3774,340,99,384,649,313,20.7,Yes,2012
Mark Jackson,17,4,22,7,0,0,98,9,3,10,13,4,17.6,Yes,2012
Darius Johnson-Odom,1649,262,1257,558,432,312,3238,549,221,223,708,337,26.2,Yes,2012
Jae Crowder,1049,131,762,375,287,196,2174,294,103,74,468,272,21.9,Yes,2012
Vander Blue,982,212,820,352,321,226,2727,188,52,208,632,300,22,Yes,2012
Jamil Wilson,1077,205,908,397,277,196,3067,259,87,175,649,310,20.3,Yes,2012
Alex Len,583,50,418,225,199,132,1470,9,1,93,409,224,20.7,Yes,2012
Will Barton,1062,201,842,397,262,192,2306,254,76,164,588,321,24.9,Yes,2012
Tarik Black,1130,41,722,443,440,244,2797,1,0,158,721,443,19.5,Yes,2012
Chris Crawford,1223,468,1102,431,158,119,3911,659,242,258,443,189,18.2,Yes,2012
Adonis Thomas,589,84,523,223,137,102,1511,126,41,82,397,182,22.1,Yes,2012
Chris Smith,271,40,233,83,127,80,1125,82,25,78,151,58,17.5,Yes,2012
Shane Larkin,760,245,585,256,182,147,2131,269,101,142,316,155,20.4,Yes,2012
Reggie Johnson,1039,104,723,370,416,294,2524,21,5,186,702,365,22.9,Yes,2012
Trey McKinney-Jones,998,202,772,343,254,188,3323,342,124,171,430,219,17.7,Yes,2012
DeQuan Jones,508,53,457,201,152,96,1606,59,10,123,398,191,20.7,Yes,2012
Bill Edwards,289,59,279,104,55,47,921,107,34,84,172,70,23.2,Yes,2012
Draymond Green,1517,425,1163,543,495,340,3619,252,91,277,911,452,23.7,Yes,2012
Keith Appling,1509,465,1140,491,520,389,4229,413,138,296,727,353,20.7,Yes,2012
Branden Dawson,1309,181,1013,566,317,177,3456,9,0,219,1004,566,21.2,Yes,2012
Adreian Payne,1232,85,850,447,367,277,2759,149,61,187,701,386,22.9,Yes,2012
Trey Burke,1231,416,969,436,291,226,2605,362,133,180,607,303,27.4,Yes,2012
Tim Hardaway Jr.,1532,225,1239,527,381,276,3560,589,202,182,650,325,25.2,Yes,2012
Andre Ingram,115,8,93,45,52,25,604,0,0,34,93,45,13.1,Yes,2012
Arnett Moultrie,1142,100,863,441,343,232,3020,97,28,206,766,413,21.9,Yes,2012
Rodney Hood,890,139,699,318,176,136,2200,298,118,84,401,200,20.5,Yes,2012
Kim English,1570,204,1227,515,414,301,3409,606,239,236,621,276,23.8,Yes,2012
Phil Pressey,959,580,812,321,268,203,2943,329,114,270,483,207,20.5,Yes,2012
Will Cherry,1484,397,1138,489,564,405,3565,354,101,273,784,388,25.6,Yes,2012
Kevin Henderson,111,14,101,42,20,14,437,42,13,27,59,29,17.3,Yes,2012
Kevin Thompson,1499,177,1177,584,564,330,3738,2,1,306,1175,583,22.5,Yes,2012
Isaiah Canaan,2050,385,1411,635,593,476,3876,725,304,311,686,331,26.7,Yes,2012
David Rivers,411,59,377,160,138,81,2195,46,10,56,331,150,12.7,Yes,2012
Reggie Smith,655,155,500,197,272,193,1670,210,68,150,290,129,24.9,Yes,2012
Deonte Burton,2102,515,1479,649,826,620,4393,546,184,280,933,465,25.3,Yes,2012
Drew Gordon,1007,71,752,407,277,191,2323,4,2,173,748,405,23.5,Yes,2012
Tony Snell,952,213,738,311,201,165,2583,434,165,154,304,146,20.1,Yes,2012
Cameron Bairstow,1239,102,808,418,559,401,2787,6,2,157,802,416,23.3,Yes,2012
Joe Thomas,332,37,271,151,99,30,1550,0,0,70,271,151,12.3,Yes,2012
Eric Williams,183,11,142,74,60,35,709,0,0,44,142,74,15,Yes,2012
Kyle O'Quinn,1607,122,1104,610,486,333,3542,207,54,262,897,556,23,Yes,2012
Lorenzo Brown,1167,589,955,410,382,283,3289,210,64,304,745,346,21.8,Yes,2012
C.J. Williams,779,164,681,315,112,82,2746,218,67,130,463,248,15.9,Yes,2012
Harrison Barnes,1226,96,1018,438,319,234,2198,332,116,146,686,322,27.3,Yes,2012
Tyler Zeller,1503,69,1010,548,525,407,2696,2,0,165,1008,548,24.1,Yes,2012
John Henson,1124,108,955,475,349,169,2594,24,5,166,931,470,22.7,Yes,2012
Reggie Bullock,989,169,815,358,118,85,2457,486,188,94,329,170,18.2,Yes,2012
Kendall Marshall,523,581,406,181,163,113,2101,131,48,193,275,133,14.7,Yes,2012
James Michael McAdoo,1232,111,1044,467,524,298,2696,9,0,173,1035,467,25.5,Yes,2012
Tony Mitchell,755,62,526,258,272,191,1713,141,48,143,385,210,23.2,Yes,2012
Jordan Williams,1501,126,1249,504,469,350,3389,477,143,253,772,361,25.6,Yes,2012
Luis Flores,77,19,66,26,20,10,312,42,15,23,24,11,16.3,Yes,2012
Abdel Nader,1207,127,1106,432,294,215,2845,420,128,267,686,304,27.5,Yes,2012
Reggie Hearn,671,95,484,221,202,152,1923,218,77,110,266,144,20.3,Yes,2012
Jerian Grant,1739,690,1276,556,567,448,4337,519,179,266,757,377,23.1,Yes,2012
Jack Cooley,1017,66,656,394,344,228,2435,2,1,110,654,393,21.1,Yes,2012
Pat Connaughton,1465,257,1145,515,215,167,4484,695,268,135,450,247,16.9,Yes,2012
Jared Sullinger,1282,89,849,450,495,363,2295,52,19,130,797,431,27.4,Yes,2012
Jordan Sibert,1153,158,852,366,321,237,2660,506,184,138,346,182,23.2,Yes,2012
Markel Brown,1655,308,1255,551,555,407,4088,421,146,239,834,405,22.2,Yes,2012
Kent Bazemore,1416,379,1155,516,489,284,3681,299,100,320,856,416,23.8,Yes,2012
Jared Cunningham,1271,193,835,380,566,427,2733,244,84,251,591,296,24.5,Yes,2012
Eric Moreland,640,116,445,238,294,156,2227,24,8,161,421,230,16.6,Yes,2012
Jabari Brown,1052,103,696,307,385,301,2164,355,137,136,341,170,24,Yes,2012
Tim Frazier,1543,641,1214,508,585,453,4132,239,74,355,975,434,24,Yes,2012
Don Martin,0,4,8,0,0,0,55,3,0,3,5,0,10.3,Yes,2012
Lamar Patterson,1410,427,1097,477,394,285,3628,463,171,244,634,306,22.5,Yes,2012
John Johnson,422,81,344,137,107,81,1309,187,67,78,157,70,18.9,Yes,2012
Khem Birch,611,55,392,208,292,195,1755,0,0,82,392,208,17.6,Yes,2012
Eric Washington,1251,560,892,389,469,380,3498,282,93,340,610,296,22.8,Yes,2012
Bryce Cotton,1975,384,1452,611,581,487,4314,736,266,193,716,345,22.7,Yes,2012
Robbie Hummel,1772,268,1315,583,464,390,3830,555,216,138,760,367,24.2,Yes,2012
Anthony Johnson,643,101,593,237,180,112,1756,184,57,91,409,180,22.8,Yes,2012
James Johnson,1731,479,1511,581,443,351,4285,589,218,283,922,363,22.5,Yes,2012
Javonte Green,1911,141,1350,701,739,485,3378,101,24,245,1249,677,29,Yes,2012
Derrick Williams,816,80,477,250,372,277,2056,112,39,141,365,211,21.1,Yes,2012
Chris Johnson,389,265,304,130,144,98,1762,75,31,162,229,99,16,Yes,2012
Langston Galloway,1991,296,1501,657,407,334,4720,806,343,156,695,314,21,Yes,2012
Matthew Dellavedova,1933,768,1423,590,541,465,4944,761,288,342,662,302,21.2,Yes,2012
Jamaal Franklin,1162,162,849,362,436,340,2198,325,98,218,524,264,29.9,Yes,2012
Avery Johnson,427,127,356,142,107,80,2297,182,63,105,174,79,12,Yes,2012
Torrey Craig,2128,236,1808,747,502,337,4061,899,297,347,909,450,29.5,Yes,2012
Nate Wolters,2352,668,1716,773,807,648,4204,462,158,280,1254,615,29.3,Yes,2012
Jack Foley,6,1,11,1,4,3,43,9,1,5,2,0,22,Yes,2012
Ron Anderson,752,129,528,279,362,194,2686,3,0,155,525,279,17.1,Yes,2012
Dewayne Dedmon,360,25,294,153,88,54,1156,4,0,78,290,153,19.5,Yes,2012
Jalen Jones,1635,97,1247,568,627,434,3523,208,65,212,1039,503,26.4,Yes,2012
Andrew Nicholson,2103,87,1407,809,633,456,3672,77,29,296,1330,780,29.1,Yes,2012
