,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes
2016-17,14.3,62,0.4,3,1.2,big-ten,2.1,10.4,77,1.5,0.455,335,0.382,128,0.221,74,0.743,55,35,21,6-1,813,-0.9,2.2,14,0.4,68,12.5,carsen-edwards-1,360,335,Guard,2.5,36,purdue,0.43,144,0.34,49,6.6,91,0.486,14.7,64,191,0.414,79,26.8,200,1.9,0.092
2017-18,19.5,104,0.8,8,9.9,big-ten,2.3,12.9,129,2.0,0.555,500,0.458,229,0.318,159,0.824,131,37,37,6-1,1092,7.6,1.5,13,4.0,65,25.4,carsen-edwards-1,686,626,Guard,2.3,42,purdue,0.478,239,0.406,97,7.7,142,0.596,10.0,64,261,0.506,132,30.5,200,6.1,0.223
2018-19,18.3,104,1.0,10,8.5,big-ten,1.0,10.6,116,1.6,0.49,703,0.394,277,0.314,221,0.837,185,36,36,6-1,1275,7.5,1.3,14,4.0,73,23.2,carsen-edwards-1,874,787,Guard,2.3,48,purdue,0.541,380,0.355,135,6.0,130,0.541,12.3,113,323,0.44,142,37.3,200,5.6,0.176
Career,17.7,270,0.8,21,7.1,,1.7,11.3,322,5.1,0.504,1538,0.412,634,0.295,454,0.817,371,108,94,6-1,3180,5.4,1.6,41,8.4,206,21.2,carsen-edwards-1,1920,1748,Guard,2.3,126,purdue,0.496,763,0.368,281,6.7,363,0.547,12.1,241,775,0.455,353,32.2,200,13.6,0.171
